,Unnamed: 0,right_ascension_angle,declination_angle,ultraviolet_filter,green_filter,red_filter,near_infrared_filter,infrared_filter,run_ID,cam_col,field_ID,spec_obj_ID,redshift,plate,MJD,fiber_ID,class
20886,20886,127.886549523863,61.1290087652033,24.75419,22.90421,20.92382,19.88841,19.34208,4264.0,5.0,180.0,6.425695866359929e+18,0.516572,5707.0,56269.0,673.0,0
49846,49846,169.821378694111,38.3227038710159,18.79566,18.48633,18.48162,18.22174,18.33312,3900.0,2.0,296.0,2.2292890199701847e+18,0.593921,1980.0,53433.0,26.0,1
44468,44468,51.4618006926013,1.07889458097416,19.96215,18.60271,18.0004,17.70195,17.38437,4849.0,6.0,798.0,9.064662915046708e+17,0.08310318,805.0,52586.0,425.0,0
92584,92584,47.9172693021281,-8.22635498328307,24.10604,21.15093,19.28341,18.37974,17.95098,1045.0,1.0,92.0,5.16844989246892e+17,0.4743744,459.0,51924.0,207.0,0
98701,98701,0.388793036806362,8.63122581756729,20.95011,21.1154,20.63512,20.54071,20.52421,5636.0,6.0,124.0,1.2696837712663304e+19,1.351713,11277.0,58450.0,234.0,1
95275,95275,4.07228011689688,11.5155149002563,25.74693,23.74828,22.23977,21.01833,19.81764,7773.0,1.0,337.0,1.3021219207458871e+19,-0.0001031127,11565.0,58507.0,679.0,2
5849,5849,163.582184720425,25.7163626612802,22.96872,21.97924,21.09304,20.3027,19.87271,5112.0,3.0,353.0,1.1783809574301358e+19,0.8074306,10466.0,58161.0,513.0,0
40241,40241,239.201210266905,19.9290531631091,22.96105,21.03343,19.32421,18.53516,18.15093,4671.0,2.0,73.0,4.426172108301949e+18,0.4546173,3931.0,55350.0,944.0,0
66903,66903,128.655265082553,25.5276412798931,17.51364,16.01473,15.4889,15.31575,15.25202,4335.0,5.0,124.0,2.6066282216507576e+18,6.395158e-05,2315.0,53741.0,618.0,2
45407,45407,252.556422560973,32.5463982403854,25.59215,22.10157,20.47486,19.4584,19.03502,3225.0,2.0,292.0,5.848150717240728e+18,0.5755042,5194.0,56062.0,824.0,0
83157,83157,183.272361885646,49.8434024817467,18.04962,16.63479,16.06026,15.81574,15.71544,2964.0,3.0,314.0,3.258374472641571e+18,-0.0001814214,2894.0,54539.0,73.0,2
40435,40435,166.792022764164,64.458906851369,21.33422,20.33109,19.95875,19.85872,19.85206,2078.0,5.0,51.0,8.005279017837286e+18,-0.0001721955,7110.0,56746.0,475.0,2
11025,11025,175.829275184047,34.4464045624395,19.69165,19.30315,18.94493,18.70967,18.61615,4552.0,3.0,50.0,2.361105346828724e+18,1.51973,2097.0,53491.0,339.0,1
63346,63346,11.4346608211127,-0.181266358275716,23.25482,20.0006,18.56242,17.09873,16.33132,2728.0,3.0,489.0,1.2701006261890847e+18,2.030999e-05,1128.0,52637.0,311.0,2
15311,15311,161.335849412473,6.54667522397467,25.64524,22.28707,20.46181,19.45,18.97408,2986.0,3.0,285.0,5.464088279753448e+18,0.5831971,4853.0,55928.0,349.0,0
19027,19027,235.7498646103,30.4474947858787,22.40356,21.98856,22.08478,21.93822,21.71151,3927.0,4.0,54.0,5.641997779171826e+18,1.855071,5011.0,55739.0,412.0,1
65619,65619,225.417691330099,34.6455554864052,22.14512,21.49427,20.35425,19.63737,19.44051,3919.0,3.0,142.0,5.308633273890788e+18,0.5189104,4715.0,55653.0,55.0,0
557,557,323.459836643902,8.8134463379009,22.58904,21.70035,20.73013,19.86282,19.44488,7773.0,2.0,69.0,4.603821578404517e+18,0.6563538,4089.0,55470.0,61.0,0
93359,93359,176.490106702315,11.1481351179348,25.66715,22.91985,21.12059,20.06566,19.63846,3804.0,1.0,126.0,6.056222571283896e+18,0.5828614,5379.0,55986.0,25.0,0
36752,36752,216.214005488897,30.2493537510326,23.19376,22.41358,20.54425,19.22259,18.63711,4576.0,2.0,626.0,4.353915232848206e+18,0.6625992,3867.0,55652.0,219.0,0
70707,70707,178.84341726723,50.9767835439687,22.94885,21.1596,20.79857,20.53511,20.45455,2964.0,6.0,296.0,7.524451857235991e+18,-0.0009868124,6683.0,56416.0,228.0,2
92966,92966,206.469268157792,1.23916629634873,25.01445,22.4539,20.98294,19.91396,19.61311,1404.0,6.0,50.0,4.547588158699887e+18,0.5723829,4039.0,55648.0,285.0,0
27847,27847,243.393330788045,43.7843959895063,18.52335,17.5563,17.14295,16.80886,16.69338,3226.0,6.0,67.0,9.165501851217696e+17,0.1123044,814.0,52443.0,246.0,0
77147,77147,261.552581413029,62.0172919785391,24.46736,20.93163,19.08249,18.31637,17.89386,1356.0,4.0,48.0,3.986911926335836e+17,0.4315575,354.0,51792.0,446.0,0
37228,37228,218.75098325159,29.341710935217,18.85166,17.68613,17.35197,17.09165,16.96341,4576.0,2.0,642.0,2.407252678942943e+18,0.03494067,2138.0,53757.0,286.0,0
49350,49350,319.207521524117,0.183358545063154,19.11069,18.94151,18.70794,18.59854,18.08536,4187.0,4.0,77.0,1.0290880864310286e+19,0.3441649,9140.0,58039.0,566.0,1
71458,71458,241.60602747572,54.1474954770869,22.69411,21.81145,21.34429,21.21408,21.21936,1412.0,5.0,365.0,9.472211441920793e+18,1.522918,8413.0,57897.0,56.0,1
72626,72626,240.455003777277,49.1998040882925,22.65964,21.51959,21.11733,21.03229,20.72133,2299.0,6.0,273.0,7.115878834533325e+18,1.280109,6320.0,56453.0,696.0,1
95575,95575,200.130518930001,37.721981382895,22.12424,21.76227,21.1264,20.72704,20.41885,4510.0,6.0,27.0,9.951867616246389e+18,0.4788194,8839.0,57846.0,139.0,0
45519,45519,192.076867347693,34.1251564499755,21.51686,20.6383,20.43979,20.29347,20.02427,4576.0,2.0,487.0,4.470954116919876e+18,-0.000633306,3971.0,55322.0,20.0,2
94869,94869,327.841779340443,18.9874825007452,23.00333,23.30836,21.25138,19.97805,19.35164,8102.0,5.0,27.0,5.652170737525742e+18,0.5400746,5020.0,55852.0,557.0,0
36995,36995,181.148542810401,46.2026442696918,24.35261,21.37834,19.54314,18.70727,18.28086,3698.0,1.0,152.0,7.477269888589125e+18,0.4629599,6641.0,56383.0,613.0,0
32320,32320,155.516434248606,-1.91477448727125,21.37839,20.78978,20.58572,20.51088,20.53951,1140.0,4.0,17.0,4.244810137255303e+18,0.0001474599,3770.0,55234.0,609.0,2
85810,85810,222.740127163198,35.6753885641382,22.44052,20.9728,19.1853,18.46427,17.96887,3919.0,3.0,126.0,5.308768788698913e+18,0.3608231,4715.0,55653.0,548.0,0
30357,30357,233.048687479201,36.2039981333217,24.29576,21.20923,19.42954,18.75841,18.24288,3926.0,4.0,47.0,5.6047380838684e+18,0.4170316,4978.0,56036.0,30.0,0
78612,78612,136.995635178227,23.8036889921739,22.84784,21.17244,19.24916,18.64268,18.24111,5045.0,5.0,177.0,6.502211700808504e+18,0.3942601,5775.0,56009.0,508.0,0
55514,55514,154.638972019147,42.8688690667519,22.22246,21.13292,19.53978,18.59185,18.09442,3698.0,3.0,24.0,5.130871379647027e+18,0.4986407,4557.0,55588.0,529.0,0
26270,26270,177.916041955199,35.1429595150545,19.29947,19.06459,18.87444,18.72162,18.8154,4552.0,4.0,62.0,2.291229457815464e+18,1.462685,2035.0,53436.0,84.0,1
83221,83221,141.470416500155,32.0442205535448,24.81909,22.49369,21.93193,21.45635,21.7074,4469.0,5.0,210.0,1.1753479545982e+19,0.7664371,10439.0,58157.0,765.0,0
35764,35764,218.055515256751,31.3114404062439,22.62621,20.98157,20.1225,19.27558,18.8506,4576.0,6.0,634.0,4.355114795135161e+18,0.635981,3868.0,55360.0,487.0,0
66775,66775,251.564985391464,33.6926247387671,23.00788,21.62936,21.21041,21.14605,20.84984,3225.0,2.0,283.0,1.2289382339671511e+19,-3.788968e-05,10915.0,58257.0,672.0,2
90973,90973,240.796302466939,61.2996353493656,24.27302,21.50434,20.18007,18.98831,18.63182,6122.0,3.0,74.0,7.654086753209571e+18,0.6130735,6798.0,56485.0,797.0,0
39051,39051,128.371275872978,22.260124492922,24.12709,24.11436,23.49635,22.12373,22.67117,4517.0,2.0,113.0,1.0802026229487915e+19,0.8188969,9594.0,58135.0,518.0,0
93338,93338,25.4826649531753,-8.00177756788536,24.8446,21.48308,20.23473,19.20578,18.89093,7885.0,1.0,50.0,8.063707063371716e+18,0.5675611,7162.0,56605.0,43.0,0
62059,62059,36.7721297865775,-4.52732810291695,21.28602,21.70674,20.98297,20.47549,20.57164,7881.0,3.0,267.0,9.15259549041586e+18,0.5795403,8129.0,56947.0,564.0,0
72088,72088,234.298743481078,57.2217798784394,18.09738,16.49949,15.72964,15.35405,15.06985,2206.0,3.0,101.0,6.924312308634358e+17,0.07318132,615.0,52347.0,10.0,0
6229,6229,131.117259531128,29.9875715607961,22.94344,22.71851,22.8448,22.28891,21.09956,3606.0,2.0,48.0,1.1746656526156452e+19,1.169054,10433.0,58132.0,519.0,0
20858,20858,25.8238848349122,27.3044752800655,20.96558,20.56792,20.44826,20.4153,19.78073,8105.0,1.0,107.0,7.054963687472519e+18,0.808808,6266.0,56223.0,272.0,1
18281,18281,356.080870606405,35.0600457300826,19.70508,17.51867,16.48671,16.05642,15.73265,8156.0,4.0,214.0,8.042454877442693e+18,0.1181637,7143.0,56572.0,552.0,0
35554,35554,232.143047256072,38.1793156727911,22.14455,21.93121,22.65911,22.08364,21.21538,3958.0,2.0,21.0,1.2093502693462792e+19,0.2245726,10741.0,58230.0,770.0,0
14668,14668,261.271996673931,35.6524307952272,22.66538,21.83956,21.00503,20.58063,19.953,5327.0,2.0,63.0,1.207321643000872e+19,2.19695,10723.0,58287.0,697.0,1
20985,20985,132.139232973769,14.850938719725,18.27513,17.10325,16.6445,16.40479,16.22257,5137.0,2.0,126.0,2.737143551694498e+18,0.03213364,2431.0,53818.0,294.0,0
23238,23238,156.033876291218,58.0681955163846,23.76445,24.47253,22.2361,19.88408,18.34078,2074.0,1.0,206.0,7.978396231939677e+18,-0.0001046486,7086.0,56658.0,980.0,2
71072,71072,223.089099508317,5.29670012957653,22.37897,21.73177,19.88533,19.45319,19.15737,3910.0,2.0,86.0,2.060470848183101e+18,0.0001639585,1830.0,54560.0,269.0,2
57328,57328,125.584626378997,31.2849732460385,20.19207,19.24766,18.99532,18.93863,18.95895,2961.0,4.0,81.0,3.634461055968714e+18,-8.747875e-06,3228.0,54863.0,204.0,2
79437,79437,22.4212138013995,28.0240509539094,23.93609,23.01955,21.2183,20.07322,19.63908,8116.0,2.0,362.0,7.052801222978591e+18,0.6000566,6264.0,56223.0,597.0,0
55564,55564,222.040347708253,49.9944452757695,22.50022,23.91621,21.74809,20.68045,19.57497,3712.0,1.0,241.0,9.458806464070308e+18,0.8290614,8401.0,57482.0,441.0,0
44049,44049,21.5326208205283,13.0718087261669,23.04141,22.79405,21.14619,19.94849,19.70973,7773.0,6.0,450.0,5.252418552225618e+18,0.577226,4665.0,56209.0,347.0,0
38391,38391,183.523230906112,14.3862517560383,23.02528,21.64471,21.40679,21.26386,20.80466,4381.0,2.0,85.0,6.074405470235548e+18,2.886262,5395.0,56003.0,638.0,1
82194,82194,235.211331151409,29.3586808151536,19.63775,19.29659,19.14402,19.06099,18.89085,3927.0,1.0,55.0,1.5639324726835548e+18,2.148005,1389.0,53135.0,209.0,1
23462,23462,321.858829578693,2.37154110860637,23.4285,22.1514,20.48584,19.51228,19.20697,7717.0,5.0,75.0,5.790696008083331e+18,0.5919978,5143.0,55828.0,701.0,0
95361,95361,38.9733062393087,28.8093871191134,16.89545,15.64078,15.23161,15.07298,15.00219,5817.0,6.0,145.0,2.749553468703271e+18,-0.0001230573,2442.0,54065.0,385.0,2
68737,68737,209.206955582508,3.91578487821082,20.03343,18.21317,17.1199,16.64692,16.2608,2247.0,2.0,323.0,9.63847325313165e+17,0.1354026,856.0,52339.0,280.0,0
20751,20751,324.775737051183,10.0326240004599,22.98219,22.44485,20.53833,19.6306,19.22377,7777.0,5.0,92.0,4.6084961521738936e+18,0.5060252,4093.0,55475.0,683.0,0
48615,48615,189.176727159306,22.2074808377521,18.38203,16.50488,15.6302,15.21078,14.9137,5194.0,3.0,489.0,6.73868971525042e+18,0.06292345,5985.0,56089.0,650.0,0
80117,80117,121.392401039368,20.2871372128362,21.58754,19.84565,18.34359,17.78106,17.41883,4469.0,3.0,67.0,5.045268352815356e+18,0.2796033,4481.0,55630.0,403.0,0
26264,26264,355.083546577696,3.71421893988644,21.83468,21.22237,21.02345,20.90063,20.43943,7712.0,6.0,297.0,1.2704710215414864e+19,-0.0005883127,11284.0,58420.0,202.0,2
49460,49460,165.458498583067,5.74030074389045,24.07157,24.09414,21.13851,19.2071,18.5522,2125.0,6.0,312.0,5.466360420498692e+18,0.0001505504,4855.0,55926.0,423.0,2
30522,30522,140.911387916637,56.6451601990862,20.40747,19.96609,19.4901,19.29034,19.28896,1331.0,3.0,237.0,9.228120401066088e+18,1.363577,8196.0,57346.0,890.0,1
61338,61338,237.919698268405,12.1102241763832,20.34266,18.68131,17.67323,17.0838,16.65536,5317.0,3.0,97.0,2.836166406142192e+18,0.1375727,2519.0,54570.0,89.0,0
59978,59978,37.4907495749187,-4.45972757683646,22.50979,21.76185,21.33256,20.75251,20.76893,7881.0,3.0,272.0,9.152628200886786e+18,0.7760648,8129.0,56947.0,683.0,0
66701,66701,357.709635165132,35.8733318734381,19.96999,18.32241,17.71442,17.50499,17.37907,4152.0,2.0,52.0,2.1167537271205007e+18,-0.0002763836,1880.0,53262.0,225.0,2
76819,76819,216.832418395951,46.0276967319428,22.0668,21.52351,21.0183,20.52831,20.26336,3664.0,5.0,47.0,9.56474111085487e+18,1.641461,8495.0,57481.0,805.0,1
55043,55043,195.740123043742,2.73563693011963,24.08182,21.57034,19.85712,18.95026,18.51907,1458.0,4.0,474.0,4.509458739297016e+18,0.4713946,4005.0,55325.0,835.0,0
85460,85460,130.686369832434,38.7851548642186,21.1883,21.52345,21.02069,21.07531,21.22115,2864.0,6.0,166.0,9.93949205639229e+18,1.353321,8828.0,57445.0,173.0,1
10613,10613,352.768134647229,0.830641179926612,19.3689,17.41873,16.38829,15.95778,15.59935,4188.0,5.0,61.0,4.324387783893586e+17,0.1241681,384.0,51821.0,339.0,0
53334,53334,215.595250549201,15.7046046772233,21.06511,20.48041,20.44275,20.40626,20.25603,5326.0,5.0,103.0,6.148732456524863e+18,2.479487,5461.0,56018.0,702.0,1
42082,42082,163.614660336251,64.6358714741271,23.92569,21.74236,20.50268,19.75834,19.2996,1302.0,6.0,316.0,7.999596191888464e+18,0.4490543,7105.0,56740.0,281.0,0
49019,49019,164.67544033092,49.58493880539,19.7004,18.13146,17.30578,16.85578,16.64528,2830.0,1.0,333.0,9.862911119516242e+17,0.177366,876.0,52669.0,10.0,0
24746,24746,180.31546587289,13.5742955854749,19.05851,17.80061,17.27774,17.10253,17.009,3836.0,6.0,210.0,3.69874867763712e+18,-1.059468e-05,3285.0,54948.0,609.0,2
75156,75156,187.388966537244,64.2802879249892,21.08923,20.35528,20.19759,20.19365,19.73692,2078.0,2.0,109.0,7.851009839795034e+18,2.498757,6973.0,56741.0,399.0,1
63939,63939,178.366069699021,-1.74445496775363,20.39399,18.44039,17.31742,16.82829,16.41327,1140.0,5.0,170.0,3.7166108335147616e+17,0.1383704,330.0,52370.0,415.0,0
74055,74055,147.190578480187,62.8313155940624,26.29875,22.46129,20.52731,19.71034,19.38557,1412.0,4.0,60.0,6.44252718597907e+18,0.4765859,5722.0,56008.0,465.0,0
55050,55050,146.613800226981,38.9626451697385,20.22484,18.69358,17.56987,17.06549,16.69335,3606.0,5.0,151.0,1.4367942922186527e+18,0.2487819,1276.0,53035.0,531.0,0
10296,10296,232.625021020542,49.945944672949,17.86613,16.934,16.67611,16.59554,16.53613,3225.0,4.0,140.0,2.757478202216573e+18,-0.001670896,2449.0,54271.0,543.0,2
32098,32098,236.280308288626,62.3145089526586,22.87318,21.34641,19.56267,18.53884,18.10395,5362.0,2.0,54.0,7.658567262606219e+18,0.5046869,6802.0,56456.0,713.0,0
50818,50818,318.773391151506,-7.77609456817307,23.33082,21.53966,19.54823,18.75563,18.2714,1737.0,2.0,78.0,7.195333644821729e+17,0.3721474,639.0,52146.0,303.0,0
69703,69703,218.629863355028,43.7464481655311,24.44453,24.08942,21.70699,20.63611,19.85778,2964.0,1.0,479.0,9.565708142706448e+18,0.6374158,8496.0,58159.0,227.0,0
54196,54196,319.18974494305,3.54054032044379,24.422,21.99194,20.44231,19.59764,19.56776,7765.0,4.0,50.0,4.590392141554145e+18,0.4738697,4077.0,55361.0,357.0,0
44239,44239,355.00702781871,24.1944704971286,20.26862,20.27789,20.00183,19.92641,20.01295,7699.0,2.0,55.0,8.633408034528581e+18,1.199175,7668.0,57579.0,27.0,1
31299,31299,113.664317363894,26.7485895061094,21.09985,20.70087,20.59092,20.3506,20.28568,2825.0,4.0,29.0,1.2481996163430769e+19,0.7821935,11086.0,58401.0,981.0,1
31062,31062,332.563270090241,2.45011910016753,21.65285,21.4022,21.10274,21.07665,21.10007,7712.0,4.0,146.0,1.0321298304156324e+19,1.210582,9167.0,58064.0,632.0,1
96971,96971,334.245393715476,20.4426041989357,22.72098,20.25431,18.66125,18.01053,17.56027,8102.0,5.0,68.0,5.655601488782973e+18,0.2483617,5023.0,55858.0,750.0,0
47676,47676,180.819088556419,51.3626886385612,18.18198,16.45735,15.61475,15.22049,14.91608,2830.0,1.0,403.0,9.930811409925672e+17,0.06036613,882.0,52370.0,136.0,0
55695,55695,210.320463191529,35.3743532408222,24.47616,22.84009,20.72748,19.30727,18.58477,4470.0,5.0,153.0,4.3428247275613937e+18,0.6950008,3857.0,55272.0,832.0,0
49399,49399,125.194062819551,29.561855352164,19.04646,18.13444,17.86066,17.75843,17.73219,2963.0,1.0,15.0,5.010456438780484e+18,-0.0004977247,4450.0,55540.0,734.0,2
61367,61367,241.918115701487,9.27868187149776,19.84029,18.03317,17.18012,16.73246,16.39545,5322.0,2.0,217.0,2.84409416005769e+18,0.1024655,2526.0,54582.0,258.0,0
10411,10411,223.726776371722,13.3027049887674,18.60392,17.44948,16.9347,16.54786,16.34064,5322.0,2.0,95.0,3.096228938154797e+18,0.07114511,2750.0,54242.0,15.0,0
77208,77208,7.87665483977685,24.1967282692484,20.95958,20.38128,20.28678,20.3459,20.13191,7708.0,2.0,253.0,7.071801884626147e+18,2.511836,6281.0,56295.0,89.0,1
78876,78876,230.939690677262,-1.30984492251024,24.86143,23.24869,21.2959,19.93869,19.20772,2379.0,5.0,145.0,4.517177860713372e+18,0.6659571,4012.0,55327.0,245.0,0
1243,1243,179.133911771985,36.3747959120843,23.82965,20.98613,19.32021,18.60972,18.27529,4504.0,1.0,140.0,5.235657862437688e+18,0.420057,4650.0,55648.0,812.0,0
79093,79093,160.944290026825,39.2873503926927,23.03573,21.66203,21.40542,21.1751,21.34386,3647.0,2.0,144.0,9.932944476762034e+18,0.0007692207,8822.0,58167.0,929.0,2
81579,81579,11.1984666939847,-2.78293035489781,22.20721,22.13946,21.55131,20.72939,20.83215,7907.0,3.0,146.0,1.0526249470664137e+19,0.675852,9349.0,58068.0,768.0,0
80747,80747,218.693710914992,33.0481790339649,24.39559,21.18938,19.33697,18.70772,18.41196,4010.0,5.0,40.0,4.351720326385916e+18,0.3764963,3865.0,55272.0,426.0,0
32539,32539,4.25416019016839,-10.8696342695507,22.0045,21.14889,20.89131,20.93753,20.68086,1740.0,1.0,50.0,8.071589187739211e+18,4.512531e-05,7169.0,56628.0,46.0,2
24155,24155,164.337844393929,62.197500769522,23.39555,22.03573,20.38106,19.4843,19.03376,2078.0,1.0,39.0,7.99847304027415e+18,0.5027537,7104.0,56711.0,291.0,0
27468,27468,16.5124942901975,6.35280475295611,24.90484,24.05443,22.50935,19.94464,18.43811,5641.0,1.0,106.0,1.2466074960769864e+19,-6.450637e-05,11072.0,58436.0,404.0,2
91199,91199,221.377658333649,2.11859007492468,25.48482,22.4376,20.65789,19.46786,18.98926,1462.0,4.0,641.0,4.5275121754185626e+18,0.598004,4021.0,55620.0,977.0,0
35751,35751,17.5430016281498,7.70574982940384,25.14818,23.92275,21.95337,20.66108,19.84913,5641.0,4.0,113.0,1.246618518681055e+19,0.7258077,11072.0,58436.0,805.0,0
87337,87337,24.5281928037784,-6.41679785590216,26.67069,22.19057,20.88482,19.88794,19.35698,8067.0,5.0,132.0,8.063914321313552e+18,0.5758618,7162.0,56605.0,797.0,0
44769,44769,244.455825665018,42.3603205074468,20.96881,20.20756,19.97548,19.8721,19.64262,3225.0,5.0,215.0,6.805182680956952e+18,-0.0004047827,6044.0,56090.0,886.0,2
38016,38016,3.60802317771459,11.9951745554935,20.58407,19.69451,19.34263,19.20218,19.14196,7773.0,2.0,334.0,6.882874724495676e+18,-0.001301043,6113.0,56219.0,904.0,2
76800,76800,185.621622249483,-1.1441403788219,19.8664,18.17842,17.53781,17.1618,16.90786,752.0,1.0,281.0,3.2426113087048294e+17,0.08071183,288.0,52000.0,7.0,0
65828,65828,245.254621732657,7.88129487568046,24.61184,22.20598,20.67865,19.75148,19.26185,3996.0,4.0,274.0,5.868296243390993e+18,0.4748875,5212.0,56016.0,385.0,0
90882,90882,253.286569263691,31.1186808341777,22.77779,22.08442,21.9639,21.88395,21.32823,3187.0,5.0,193.0,1.2282642883534936e+19,2.194679,10909.0,58280.0,730.0,1
21462,21462,117.668812120681,43.4878498491656,22.83323,21.3621,20.28086,19.58115,19.38242,1402.0,4.0,79.0,7.178842639688817e+18,0.5422805,6376.0,56269.0,381.0,0
